CASEID,DOBM,DOBY,IDATMM,IDATYY,CASE,RESPID,NUMUNION,NUMMAR,NUMCOHMR,HOWBEG01,HOWEND01,COHMAR01,BEGDAT01,BEGFLG01,ENDDAT01,ENDFLG01,MARDAT01,MARFLG01,SEPDAT01,SEPFLG01,DIVDAT01,DIVFLG01,WIDDAT01,WIDFLG01,COHDAT01,COHFLG01,HOWBEG02,HOWEND02,COHMAR02,BEGDAT02,BEGFLG02,ENDDAT02,ENDFLG02,MARDAT02,MARFLG02,SEPDAT02,SEPFLG02,DIVDAT02,DIVFLG02,WIDDAT02,WIDFLG02,COHDAT02,COHFLG02,HOWBEG03,HOWEND03,COHMAR03,BEGDAT03,BEGFLG03,ENDDAT03,ENDFLG03,MARDAT03,MARFLG03,SEPDAT03,SEPFLG03,DIVDAT03,DIVFLG03,WIDDAT03,WIDFLG03,COHDAT03,COHFLG03,HOWBEG04,HOWEND04,COHMAR04,BEGDAT04,BEGFLG04,ENDDAT04,ENDFLG04,MARDAT04,MARFLG04,SEPDAT04,SEPFLG04,DIVDAT04,DIVFLG04,WIDDAT04,WIDFLG04,COHDAT04,COHFLG04,HOWBEG05,HOWEND05,COHMAR05,BEGDAT05,BEGFLG05,ENDDAT05,ENDFLG05,MARDAT05,MARFLG05,SEPDAT05,SEPFLG05,DIVDAT05,DIVFLG05,WIDDAT05,WIDFLG05,COHDAT05,COHFLG05,HOWBEG06,HOWEND06,COHMAR06,BEGDAT06,BEGFLG06,ENDDAT06,ENDFLG06,MARDAT06,MARFLG06,SEPDAT06,SEPFLG06,DIVDAT06,DIVFLG06,WIDDAT06,WIDFLG06,COHDAT06,COHFLG06,HOWBEG07,HOWEND07,COHMAR07,BEGDAT07,BEGFLG07,ENDDAT07,ENDFLG07,MARDAT07,MARFLG07,SEPDAT07,SEPFLG07,DIVDAT07,DIVFLG07,WIDDAT07,WIDFLG07,COHDAT07,COHFLG07,HOWBEG08,HOWEND08,COHMAR08,BEGDAT08,BEGFLG08,ENDDAT08,ENDFLG08,MARDAT08,MARFLG08,SEPDAT08,SEPFLG08,DIVDAT08,DIVFLG08,WIDDAT08,WIDFLG08,COHDAT08,COHFLG08,HOWBEG09,HOWEND09,COHMAR09,BEGDAT09,BEGFLG09,ENDDAT09,ENDFLG09,MARDAT09,MARFLG09,SEPDAT09,SEPFLG09,DIVDAT09,DIVFLG09,WIDDAT09,WIDFLG09,COHDAT09,COHFLG09,HOWBEG10,HOWEND10,COHMAR10,BEGDAT10,BEGFLG10,ENDDAT10,ENDFLG10,MARDAT10,MARFLG10,SEPDAT10,SEPFLG10,DIVDAT10,DIVFLG10,WIDDAT10,WIDFLG10,COHDAT10,COHFLG10,DUPFLG,M2CP01,M2DP01,BKMK2,CHKPTM,birth_month,M499A,M528,M535,M536,M537,M538,M583A,M583B,M583C,M584,E904,E1006,E1341,SAMWT,MARCOHAB,CURMARCO,coh_t,mar_t,weeks,hours,work,married,cohab,state,unil,eq,birth,age_eq,age_uni
756,10,54,9,2002,7416,R,3,2,2,coh,sep,did not cohab,853,Mo alloc from season,940,Mo alloc from season,0,Mo and yr given,940,Mo alloc from season,,,,,853,Mo alloc from season,coh,div,Yes,949,Mo and yr given,1090,Mo and yr given,951,Mo and yr given,1077,Mo and yr given,1090,Mo and yr given,,,949,Mo and yr given,coh,intact,Yes,1077,Mo and yr given,0,Mo and yr given,1090,Mo and yr given,0,Mo and yr given,,,,,1077,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,658,Texas,YES,50,INAPPLICABLE,YES,INAPPLICABLE,50,2,0,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,951,1,1,1,50,50,1,0,Texas,1970,0,1955,,15
771,1,52,9,2002,7509,R,5,5,3,mar,div,did not cohab,835,Mo alloc from season,906,Mo and yr given,835,Mo alloc from season,902,Mo and yr given,906,Mo and yr given,,,,,coh,div,Yes,894,Mo and yr given,918,Mo and yr given,906,Mo and yr given,906,Mo and yr given,918,Mo and yr given,,,894,Mo and yr given,mar,div,No,920,Mo and yr given,956,Mo and yr given,920,Mo and yr given,947,Mo and yr given,956,Mo and yr given,,,,,coh,div,Yes,918,Mo and yr given,1040,Mo and yr given,963,Mo and yr given,1039,Mo and yr given,1040,Mo and yr given,,,918,Mo and yr given,coh,intact,Yes,9998,No yr,0,Mo and yr given,1055,Mo and yr given,0,Mo and yr given,,,,,9998,No yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,625,Georgia,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,NO,49000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,1,40,40,0,0,Georgia,1973,1984,1952,32,21
776,1,52,8,2001,7538,R,2,1,1,coh,sep,did not cohab,870,Mo and yr given,893,Mo and yr given,0,Mo and yr given,893,Mo and yr given,,,,,870,Mo and yr given,coh,div,Yes,983,Mo and yr given,1075,Mo and yr given,996,Mo and yr given,1072,Mo and yr given,1075,Mo and yr given,,,983,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,625,Missouri,YES,50,INAPPLICABLE,YES,INAPPLICABLE,51,0,1,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,996,1,1,.98076922,50,49.03846,1,0,Missouri,0,1977,1952,25,
778,11,53,5,2002,7562,R,1,1,1,coh,intact,cohab,934,Mo and yr given,0,Mo and yr given,951,Mo and yr given,0,Mo and yr given,,,,,934,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,647,Louisiana,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO ANSWER,NO ANSWER,196000,MARRIED/LIVE W/SP,951,1,1,1,40,40,1,0,Louisiana,0,0,1954,,
782,5,52,3,2002,7588,R,1,1,1,coh,intact,cohab,955,Mo and yr given,0,Mo and yr given,971,Mo and yr given,0,Mo and yr given,,,,,955,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,629,Michigan,YES,20,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,971,1,1,1,20,20,1,0,Michigan,1972,1927,1952,-25,20
784,9,48,2,2003,7613,R,4,1,0,mar,div,did not cohab,792,Mo and yr given,984,Mo and yr given,792,Mo and yr given,979,Mo and yr given,984,Mo and yr given,,,,,coh,sep,No,991,Mo and yr given,1005,Mo and yr given,0,Mo and yr given,1005,Mo and yr given,,,,,991,Mo and yr given,coh,sep,No,1092,Mo and yr given,1108,Mo and yr given,0,Mo and yr given,1108,Mo and yr given,,,,,1092,Mo and yr given,coh,sep,No,1122,Mth alloc midyr,1152,Mo and yr given,0,Mo and yr given,1152,Mo and yr given,,,,,1122,Mth alloc midyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,585,Louisiana,YES,35,INAPPLICABLE,YES,INAPPLICABLE,49,3,0,INAPPLICABLE,INAPPLICABLE,NO,NO,49000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,1,35,35,0,0,Louisiana,0,0,1949,,
785,5,45,4,2002,7618,R,1,1,0,mar,intact,did not cohab,788,Mo and yr given,0,Mo and yr given,788,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,545,Indiana,YES,60,INAPPLICABLE,YES,INAPPLICABLE,44,0,8,INAPPLICABLE,INAPPLICABLE,YES,YES,392000,MARRIED/LIVE W/SP,788,0,1,.84615386,60,50.76923,1,0,Indiana,1973,1927,1945,-18,28
799,1,54,5,2002,7706,R,3,2,2,coh,div,cohab,878,Mo and yr given,1056,Mo and yr given,883,Mo and yr given,1004,Mo and yr given,1056,Mo and yr given,,,878,Mo and yr given,coh,sep,Yes,1047,Mo and yr given,1186,Mo and yr given,1104,Mo and yr given,1186,Mo and yr given,,,,,1047,Mo and yr given,coh,intact,No,1183,Mo and yr given,0,Mo and yr given,0,Mo and yr given,0,Mo and yr given,,,,,1183,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,SEPARATED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,649,Wisconsin,YES,38,INAPPLICABLE,NO,20,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,NO,49000,NOT COHAB-SEPARATD,INAPPLICABLE,1,1,1,20,20,0,0,Wisconsin,1978,0,1954,,24
800,5,53,9,2001,7730,R,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,NEVER MARRIED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,641,Rhode Island,YES,43,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,98000,NOT COHAB-NVR MRRD,INAPPLICABLE,0,0,1,43,43,0,0,Rhode Island,1975,1981,1953,28,22
804,7,52,11,2002,7785,R,1,1,0,mar,intact,did not cohab,843,Mo and yr given,0,Mo and yr given,843,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,631,Pennsylvania,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,843,0,1,0,0,0,1,0,Pennsylvania,0,1980,1953,27,
806,6,53,3,2001,7807,R,1,1,0,mar,div,did not cohab,905,Mo and yr given,945,Mo and yr given,905,Mo and yr given,945,Mo and yr given,945,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,642,Indiana,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,98000,NOT COHAB-DIVORCED,INAPPLICABLE,0,1,1,40,40,0,0,Indiana,1973,1927,1954,-27,19
807,10,48,3,2003,7828,R,1,1,0,mar,intact,did not cohab,816,Mo and yr given,0,Mo and yr given,816,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,586,Louisiana,YES,65,INAPPLICABLE,YES,INAPPLICABLE,46,6,0,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,816,0,1,1,65,65,1,0,Louisiana,0,0,1949,,
817,7,53,5,2002,7881,R,1,1,1,coh,intact,cohab,1077,Mo and yr given,0,Mo and yr given,1094,Mo and yr given,0,Mo and yr given,,,,,1077,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,NEVER MARRIED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,643,Iowa,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,NO,49000,NOT COHAB-NVR MRRD,INAPPLICABLE,0,0,1,40,40,0,0,Iowa,1970,1927,1954,-27,16
820,11,49,6,2002,7908,R,2,2,1,mar,div,did not cohab,843,Mo and yr given,1046,Mo and yr given,843,Mo and yr given,1041,Mo and yr given,1046,Mo and yr given,,,,,coh,intact,Yes,1062,Mo and yr given,0,Mo and yr given,1064,Mo and yr given,0,Mo and yr given,,,,,1062,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,MALE,COHAB NOT CIRCLED,INAPPLICABLE,599,Pennsylvania,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO ANSWER,NO,49000,NOT COHAB-DIVORCED,INAPPLICABLE,0,1,1,40,40,0,0,Pennsylvania,0,1980,1950,30,
833,9,54,12,2001,8010,R,1,1,0,mar,div,did not cohab,912,Mo and yr given,1044,Mo and yr given,912,Mo and yr given,1008,Mo and yr given,1044,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,657,Illinois,YES,35,INAPPLICABLE,YES,INAPPLICABLE,26,26,0,INAPPLICABLE,INAPPLICABLE,NO,NO,49000,NOT COHAB-DIVORCED,INAPPLICABLE,0,1,1,35,35,0,0,Illinois,0,1977,1955,22,
838,7,47,12,2001,8057,R,3,3,0,mar,div,did not cohab,802,Mo and yr given,937,Mo and yr given,802,Mo and yr given,917,Mo and yr given,937,Mo and yr given,,,,,mar,div,No,944,Mo and yr given,1120,Mo and yr given,944,Mo and yr given,1113,Mo and yr given,1120,Mo and yr given,,,,,mar,intact,No,1145,Mo and yr given,0,Mo and yr given,1145,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,571,Louisiana,YES,15,INAPPLICABLE,NO,25,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,49000,MARRIED/LIVE W/SP,944,0,1,1,25,25,1,0,Louisiana,0,0,1948,,
843,10,54,8,2001,8129,R,1,1,0,mar,intact,did not cohab,886,Mo and yr given,0,Mo and yr given,886,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,658,Pennsylvania,YES,15,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,886,0,1,1,15,15,1,0,Pennsylvania,0,1980,1955,25,
848,9,47,4,2001,8161,R,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,NEVER MARRIED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,573,Maryland,YES,48,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,98000,NOT COHAB-NVR MRRD,INAPPLICABLE,0,0,1,48,48,0,0,Maryland,0,1978,1948,30,
855,10,48,7,2002,8233,R,2,2,1,mar,div,did not cohab,805,Mo and yr given,995,Mo and yr given,805,Mo and yr given,987,Mo and yr given,995,Mo and yr given,,,,,coh,intact,Yes,990,Mo and yr given,0,Mo and yr given,998,Mo and yr given,0,Mo and yr given,,,,,990,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,586,California,YES,60,INAPPLICABLE,YES,INAPPLICABLE,46,6,0,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,998,1,1,1,60,60,1,0,California,1970,0,1949,,21
861,8,50,8,2001,8288,R,3,2,1,mar,div,did not cohab,821,Mo and yr given,887,Mo and yr given,821,Mo and yr given,866,Mo and yr given,887,Mo and yr given,,,,,coh,sep,No,943,Mo alloc from season,952,Mo alloc from season,0,Mo and yr given,952,Mo alloc from season,,,,,943,Mo alloc from season,coh,div,Yes,964,Mo and yr given,1172,Mo and yr given,1004,Mo and yr given,1165,Mo and yr given,1172,Mo and yr given,,,964,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,608,Michigan,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,1004,1,1,0,0,0,1,0,Michigan,1972,1927,1951,-24,21
862,9,46,12,2001,8305,R,2,2,1,mar,div,did not cohab,815,Mo and yr given,898,Mo and yr given,815,Mo and yr given,894,Mo and yr given,898,Mo and yr given,,,,,coh,div,Yes,1000,Mo and yr given,1062,Mth alloc midyr,1032,Mo and yr given,1043,Mo and yr given,1062,Mth alloc midyr,,,1000,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,SEPARATED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,561,Montana,YES,50,INAPPLICABLE,NO,40,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,49000,NOT COHAB-SEPARATD,INAPPLICABLE,1,1,1,40,40,0,0,Montana,1973,1976,1947,29,26
863,10,47,2,2002,8318,R,1,1,1,coh,intact,cohab,835,Mo and yr given,0,Mo and yr given,839,Mo and yr given,0,Mo and yr given,,,,,835,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,574,Missouri,YES,70,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,294000,MARRIED/LIVE W/SP,839,1,1,1,70,70,1,0,Missouri,0,1977,1948,29,
870,1,47,7,2001,8376,R,3,2,1,coh,sep,did not cohab,786,Mth alloc midyr,810,Mth alloc midyr,0,Mo and yr given,810,Mth alloc midyr,,,,,786,Mth alloc midyr,mar,div,No,918,Mth alloc midyr,942,Mth alloc midyr,918,Mth alloc midyr,918,Mth alloc midyr,942,Mth alloc midyr,,,,,coh,intact,Yes,946,Mo and yr given,0,Mo and yr given,1041,Mo and yr given,0,Mo and yr given,,,,,946,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,565,Texas,YES,24,INAPPLICABLE,NO,40,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,1041,1,1,1,40,40,1,0,Texas,1970,0,1947,,23
872,3,50,3,2002,8397,R,1,1,0,mar,div,did not cohab,9999,No yr,9999,No yr,9999,No yr,9999,No yr,9999,No yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,603,Massachusetts,YES,52,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,NO,49000,NOT COHAB-DIVORCED,INAPPLICABLE,0,1,1,52,52,0,0,Massachusetts,1975,1974,1950,24,25
883,2,54,8,2002,8549,R,1,1,0,mar,intact,did not cohab,964,Mo and yr given,0,Mo and yr given,964,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,650,Michigan,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO ANSWER,INAPPLICABLE,YES,196000,MARRIED/LIVE W/SP,964,0,1,1,40,40,1,0,Michigan,1972,1927,1954,-27,18
887,3,46,6,2001,8557,R,1,1,0,mar,intact,did not cohab,777,Mo and yr given,0,Mo and yr given,777,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,555,Minnesota,YES,24,INAPPLICABLE,NO,45,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,196000,MARRIED/LIVE W/SP,777,0,1,1,45,45,1,0,Minnesota,1974,1927,1946,-19,28
891,4,48,7,2002,8616,R,1,1,0,mar,intact,did not cohab,812,Mo and yr given,0,Mo and yr given,812,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,580,Georgia,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,812,0,1,1,40,40,1,0,Georgia,1973,1984,1948,36,25
